,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit__batch_size,param_model__dropout_rate,param_model__layer_size,param_model__n_hidden_layers,param_optimizer__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_ce,split1_test_ce,split2_test_ce,split3_test_ce,mean_test_ce,std_test_ce,rank_test_ce,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall
8,327.2443600296974,29.940705523578693,0.9041314721107483,0.1923170242604071,32,0.2,1600,3,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.001}",0.9739089184060721,0.973719165085389,0.9724857685009488,0.9738140417457305,0.9734819734345351,0.0005790586155471109,1,0.4205386461648771,0.4235971083177604,0.4434771123173943,0.4220678772408693,0.42742018601022524,0.009333322094545418,16,0.8957765667574932,0.8807901907356949,0.8637602179836512,0.8821525885558583,0.8806198910081744,0.011361685152670933,9
2,476.83170384168625,37.97221309237702,0.8156932592391968,0.00311286253639935,16,0.2,3200,3,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.2, 'model__layer_size': 3200, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.001}",0.9727703984819734,0.9733396584440228,0.9736242884250474,0.9738140417457305,0.9733870967741935,0.00039405236541355335,2,0.43888941908901824,0.4297140326255244,0.4251263393940522,0.42206787724151845,0.4289494170875284,0.006351373678448325,15,0.8991825613079019,0.8780653950953679,0.8712534059945504,0.8910081743869209,0.8848773841961852,0.010888533626121095,5
0,362.0598505139351,31.33852445024054,0.8335062861442566,0.03857336089782849,16,0.2,1600,3,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.001}",0.9710626185958254,0.9710626185958254,0.9736242884250474,0.9741935483870968,0.9724857685009488,0.001437310949482281,3,0.4664155784744061,0.46641557847225873,0.42512633939420197,0.4159509529329055,0.4434771123184431,0.02316671522094299,14,0.8930517711171662,0.8637602179836512,0.8732970027247956,0.8821525885558583,0.8780653950953679,0.010824420015034532,11
12,367.6122353672981,38.526769891237805,0.8107142448425293,0.008050986456587719,32,0.3,1600,3,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.001}",0.972865275142315,0.9718216318785579,0.9734345351043643,0.9701138519924098,0.9720588235294118,0.0012631429749235643,4,0.43736018801197735,0.45418172985857824,0.428184801548883,0.48170788924386615,0.4503586521658262,0.02035945916497648,13,0.8985013623978202,0.8944141689373297,0.8828337874659401,0.8869209809264306,0.8906675749318802,0.0061402439977247675,2
10,403.804367184639,46.350654937843444,0.8271848559379578,0.005985591006249187,32,0.2,3200,3,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 3200, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.001}",0.9740037950664137,0.972011385199241,0.9707779886148008,0.9712523719165085,0.972011385199241,0.0012315706817596895,5,0.41900941508798606,0.45112326770354766,0.471003271703631,0.4633571163202743,0.45112326770385974,0.019850573926427962,12,0.8971389645776566,0.8801089918256131,0.8692098092643051,0.8910081743869209,0.8843664850136239,0.01066652872260871,6
24,302.65387892723083,14.247159229191798,0.7962356209754944,0.003953362755887379,32,0.2,1600,5,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.001}",0.9743833017077799,0.9709677419354839,0.9722960151802656,0.9698292220113852,0.9718690702087286,0.0016938871984209702,1,0.4128924907803218,0.46794480955074774,0.44653557447282444,0.4862955824750887,0.4534171143197457,0.027302235717261217,16,0.9012261580381471,0.8841961852861036,0.8835149863760218,0.8903269754768393,0.889816076294278,0.007101723249997617,3
4,375.5117962360382,30.943925488739996,0.8009471893310547,0.002357005367581854,16,0.3,1600,3,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.001}",0.9701138519924098,0.9702087286527514,0.9732447817836812,0.9738140417457305,0.9718453510436432,0.0016963763800700797,6,0.48170788924421565,0.4801786581673746,0.4312432637022656,0.42206787724201794,0.45379942208896845,0.02734235658541456,11,0.8916893732970027,0.8937329700272479,0.8746594005449592,0.8978201634877384,0.889475476839237,0.00883427271753604,4
6,515.6837412118912,38.8259415003743,0.807630717754364,0.008460243887308708,16,0.3,3200,3,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.3, 'model__layer_size': 3200, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.001}",0.9704933586337761,0.9703984819734346,0.9702087286527514,0.9732447817836812,0.9710863377609108,0.001250384758358372,7,0.47559096493650166,0.47712019601284333,0.4801786581672747,0.43124326370396365,0.46603327070514583,0.020153821011129707,10,0.8950953678474114,0.8862397820163488,0.8923705722070845,0.8978201634877384,0.8928814713896458,0.004291417972872653,1
20,374.38715624809265,12.825117223773214,0.8092664480209351,0.013406073914643043,16,0.3,1600,5,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.001}",0.9725806451612903,0.9669829222011386,0.9703984819734346,0.9695445920303606,0.9698766603415561,0.002004234361885889,2,0.4419478812426506,0.5321725147840682,0.4771201960118945,0.4908832757070104,0.48553096693640596,0.03230444095219529,15,0.8944141689373297,0.8801089918256131,0.8732970027247956,0.9032697547683923,0.8877724795640327,0.011753149051756553,5
36,354.65872824192047,25.205252945088738,0.8913595080375671,0.1452346874195565,16,0.3,1600,6,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.001}",0.9708728652751423,0.9661290322580646,0.9712523719165085,0.9703984819734346,0.9696631878557875,0.0020627492980309797,1,0.46947404062838793,0.5459355944751891,0.46335711632012444,0.4771201960137922,0.48897173685937345,0.03324759028326304,16,0.8930517711171662,0.8555858310626703,0.8889645776566758,0.8991825613079019,0.8841961852861036,0.016913772503998822,9
33,206.08287250995636,32.364807729708836,0.819872260093689,0.01676453438852142,16,0.2,1600,6,0.01,"{'fit__batch_size': 16, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.01}",0.9722960151802656,0.9707779886148008,0.967931688804554,0.966034155597723,0.9692599620493358,0.002433729665726881,2,0.4465355744725748,0.47100327170328143,0.5168802040127605,0.5474648255536783,0.49547096893557374,0.039227087298557756,15,0.8801089918256131,0.864441416893733,0.8610354223433242,0.8760217983651226,0.8704019073569482,0.007890962423844083,15
28,315.5407601594925,27.83967379094062,0.8090295195579529,0.01062945396949826,32,0.3,1600,5,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.001}",0.9712523719165085,0.9693548387096774,0.9673624288425048,0.9680265654648956,0.9689990512333966,0.001485622786033138,3,0.46335711632052395,0.493941737860443,0.5260555904761544,0.5153509729374675,0.49967635439864716,0.023945410018341853,14,0.8944141689373297,0.8957765667574932,0.8807901907356949,0.8841961852861036,0.8887942779291553,0.0064331835039250895,4
11,132.6140714287758,11.309674782370633,0.7966927289962769,0.01807273314907234,32,0.2,3200,3,0.01,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 3200, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.01}",0.9721062618595825,0.9623339658444022,0.971157495256167,0.9688804554079696,0.9686195445920303,0.003813625752612151,8,0.44959403662660663,0.6071048375549771,0.464886347394169,0.5015878932442492,0.5057932787050006,0.06146838427789683,9,0.8807901907356949,0.8576294277929155,0.8487738419618529,0.8801089918256131,0.8668256130790192,0.013981182392216481,16
14,421.24503195285797,20.513125862342104,0.827781081199646,0.01930263665807606,32,0.3,3200,3,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 3200, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.001}",0.9730550284629981,0.9620493358633776,0.9704933586337761,0.9680265654648956,0.9684060721062617,0.00407804123346061,9,0.4343017258577957,0.6116925307883472,0.4755909649347037,0.5153509729387659,0.5092340486299031,0.06573025826390391,8,0.8957765667574932,0.8903269754768393,0.8705722070844687,0.9019073569482289,0.8896457765667575,0.011749447078106483,3
17,200.3739652633667,14.404562700576939,0.8010227084159851,0.00671394356689361,16,0.2,1600,5,0.01,"{'fit__batch_size': 16, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.01}",0.9707779886148008,0.9664136622390892,0.9699240986717268,0.966034155597723,0.9682874762808349,0.0020898455505125426,4,0.47100327170448003,0.5413479012461638,0.4847663513963498,0.5474648255537282,0.5111455874751805,0.03368433027115304,13,0.8807901907356949,0.8821525885558583,0.8664850136239782,0.8767029972752044,0.876532697547684,0.006137881911083139,12
26,405.4173791408539,22.34893959704306,0.9039104580879211,0.007263278803983887,32,0.2,3200,5,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 3200, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.001}",0.9704933586337761,0.9674573055028463,0.9656546489563568,0.9684060721062618,0.9680028462998103,0.0017447699176093695,5,0.4755909649369012,0.5245263593988139,0.5535817498629404,0.5092340486305523,0.515733280707302,0.028122368247084268,12,0.9005449591280654,0.8760217983651226,0.8937329700272479,0.8985013623978202,0.892200272479564,0.00966216481778222,2
16,321.56343936920166,27.30380559319632,0.8470971584320068,0.06939352843075353,16,0.2,1600,5,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.001}",0.9672675521821632,0.9666982922201138,0.9718216318785579,0.966034155597723,0.9679554079696395,0.0022744440849665265,6,0.5275848215533452,0.5367602080136429,0.4541817298582287,0.5474648255549267,0.5164978962450358,0.036659707087728734,11,0.8835149863760218,0.8610354223433242,0.8896457765667575,0.8930517711171662,0.8818119891008174,0.012472638571934988,8
22,515.3480300307274,28.560544711814185,0.9088290929794312,0.007412555406350085,16,0.3,3200,5,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.3, 'model__layer_size': 3200, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.001}",0.9707779886148008,0.965370018975332,0.9693548387096774,0.9663187855787476,0.9679554079696394,0.00219591307870195,7,0.4710032717056786,0.5581694430924151,0.49394173785999346,0.5428771323237042,0.5164978962454478,0.03539393682474319,10,0.8971389645776566,0.8732970027247956,0.8896457765667575,0.8896457765667575,0.8874318801089918,0.008715287181147129,6
29,135.8578684926033,8.22152860264854,0.858892560005188,0.010256423851201181,32,0.3,1600,5,0.01,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.01}",0.9722011385199241,0.9633776091081594,0.9680265654648956,0.9674573055028463,0.9677656546489563,0.0031261643625817145,8,0.44806480554926603,0.5902832957104238,0.5153509729361191,0.5245263593990637,0.5195563583987182,0.05038781590611074,9,0.8760217983651226,0.8896457765667575,0.8658038147138964,0.8794277929155313,0.8777247956403269,0.008514986376021794,11
13,104.14168685674667,7.05188905692398,0.809426486492157,0.012050100616141908,32,0.3,1600,3,0.01,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.01}",0.9714421252371916,0.9632827324478178,0.970303605313093,0.9659392789373814,0.9677419354838709,0.0032934639388443724,10,0.4602986541650439,0.5918125267866156,0.4786494270876869,0.5489940566295206,0.5199386661672167,0.053084366461886884,7,0.8739782016348774,0.8787465940054496,0.8569482288828338,0.8603542234332425,0.867506811989101,0.009094707031892833,14
3,205.2431612610817,3.179648725253128,0.8100129961967468,0.01106083569611069,16,0.2,3200,3,0.01,"{'fit__batch_size': 16, 'model__dropout_rate': 0.2, 'model__layer_size': 3200, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.01}",0.9665085388994308,0.9650853889943074,0.9705882352941176,0.9686907020872866,0.9677182163187856,0.0020962965360439155,11,0.5398186701694725,0.5627571363216402,0.47406173385686384,0.5046463553977317,0.5203209739364271,0.03378830787214923,6,0.8862397820163488,0.8494550408719346,0.8589918256130791,0.8732970027247956,0.8669959128065394,0.013980145174039883,15
18,437.88990741968155,19.491230337330027,0.8947407007217407,0.009662352625632944,16,0.2,3200,5,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.2, 'model__layer_size': 3200, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.001}",0.9682163187855788,0.9631878557874762,0.9672675521821632,0.9719165085388994,0.9676470588235293,0.003105671215053704,9,0.5122925107843843,0.5933417578634569,0.5275848215520467,0.45265249878133773,0.5214678972453064,0.050057505395279554,8,0.896457765667575,0.8767029972752044,0.8658038147138964,0.8910081743869209,0.8824931880108993,0.012037191448959324,7
32,319.53254520893097,25.001252595202004,0.8380601406097412,0.03294428542596811,16,0.2,1600,6,0.001,"{'fit__batch_size': 16, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.001}",0.9669829222011386,0.968785578747628,0.962618595825427,0.9704933586337761,0.9672201138519925,0.002932364224008627,3,0.5321725147847676,0.5031171243194423,0.6025171443273502,0.4755909649363019,0.5283494370919655,0.04726412675499596,14,0.8896457765667575,0.8555858310626703,0.9032697547683923,0.8923705722070845,0.8852179836512261,0.017851440982804712,7
