,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_hidden_layers,param_learning_rate,param_layer_size,param_epochs,param_dropout_rate,param_batch_size,param_activation,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_ce,split1_test_ce,split2_test_ce,split3_test_ce,mean_test_ce,std_test_ce,rank_test_ce,split0_train_ce,split1_train_ce,split2_train_ce,split3_train_ce,mean_train_ce,std_train_ce,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall
33,619.6827057003975,7.535112121865597,0.589410662651062,0.009954830250775759,4,0.1,200,150,0.5,16,sigmoid,"{'n_hidden_layers': 4, 'learning_rate': 0.1, 'layer_size': 200, 'epochs': 150, 'dropout_rate': 0.5, 'batch_size': 16, 'activation': 'sigmoid'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.16352201257861634,0.6681842001834141,0.29136685329822115,9,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.16359507380557253,0.6682207276062366,0.2913457574434726,2.6374298580436233,2.637429858043624,2.635663523427152,13.482432227971461,5.3482388668714655,4.696278782033432,1,2.6362523530610575,2.636252353061057,2.6368411312643016,13.481254620134273,5.347650114380173,4.695938757030849,0.0,0.0,0.0,1.0,0.25,0.4330127018922193,7,0.0,0.0,0.0,1.0,0.25,0.4330127018922193
29,303.70689380168915,0.716040117990333,0.5727008581161499,0.015191516951962702,3,0.1,500,150,0.5,32,sigmoid,"{'n_hidden_layers': 3, 'learning_rate': 0.1, 'layer_size': 500, 'epochs': 150, 'dropout_rate': 0.5, 'batch_size': 32, 'activation': 'sigmoid'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.16352201257861634,0.6681842001834141,0.29136685329822115,9,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.16359507380557253,0.6682207276062366,0.2913457574434726,2.6374298580436233,2.637429858043624,2.635663523427152,13.482432227971461,5.3482388668714655,4.696278782033432,1,2.6362523530610575,2.636252353061057,2.6368411312643016,13.481254620134273,5.347650114380173,4.695938757030849,0.0,0.0,0.0,1.0,0.25,0.4330127018922193,7,0.0,0.0,0.0,1.0,0.25,0.4330127018922193
19,490.33058363199234,3.19664122712365,0.5227532386779785,0.0023567148146255708,5,0.1,200,150,0,16,sigmoid,"{'n_hidden_layers': 5, 'learning_rate': 0.1, 'layer_size': 200, 'epochs': 150, 'dropout_rate': 0, 'batch_size': 16, 'activation': 'sigmoid'}",0.16363159963317175,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.6682389937106918,0.2913352182408705,8,0.16355854478752674,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.6682024630972137,0.2913563024626597,13.480665893354931,2.637429858043624,2.635663523427152,2.635663523427152,5.347355699563215,4.6957688851562684,1,13.481843398337537,2.636252353061057,2.6368411312643016,2.6368411312643016,5.347944503481799,4.696108722657702,1.0,0.0,0.0,0.0,0.25,0.4330127018922193,4,1.0,0.0,0.0,0.0,0.25,0.4330127018922193
12,327.5896943807602,0.7496761206130839,0.5049285888671875,0.0075789356419584085,3,0.1,200,100,0.5,16,relu,"{'n_hidden_layers': 3, 'learning_rate': 0.1, 'layer_size': 200, 'epochs': 100, 'dropout_rate': 0.5, 'batch_size': 16, 'activation': 'relu'}",0.8363684003668282,0.8362373902790515,0.8364779874213837,0.8364779874213837,0.8363904413721618,9.904426344706151e-05,5,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.6395414911566184,2.635663523427152,2.635663523427152,2.637074599013636,0.001596404902040717,1,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
37,47.4772726893425,0.11381473548394926,0.5157257318496704,0.0054919911059354,4,0.1,100,50,0.1,64,sigmoid,"{'n_hidden_layers': 4, 'learning_rate': 0.1, 'layer_size': 100, 'epochs': 50, 'dropout_rate': 0.1, 'batch_size': 64, 'activation': 'sigmoid'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,3,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,1,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
36,107.00373142957687,0.3399669797069475,0.5179142951965332,0.00416797553930178,5,0.1,500,100,0.5,64,sigmoid,"{'n_hidden_layers': 5, 'learning_rate': 0.1, 'layer_size': 500, 'epochs': 100, 'dropout_rate': 0.5, 'batch_size': 64, 'activation': 'sigmoid'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,3,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,1,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
35,362.2951917052269,2.014604849697459,0.560357391834259,0.032816884344081074,5,0.01,500,50,0.1,8,relu,"{'n_hidden_layers': 5, 'learning_rate': 0.01, 'layer_size': 500, 'epochs': 50, 'dropout_rate': 0.1, 'batch_size': 8, 'activation': 'relu'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,3,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,1,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
30,358.6764182448387,1.2834132875714466,0.5402549505233765,0.007569736594102652,2,0.1,100,50,0.5,8,sigmoid,"{'n_hidden_layers': 2, 'learning_rate': 0.1, 'layer_size': 100, 'epochs': 50, 'dropout_rate': 0.5, 'batch_size': 8, 'activation': 'sigmoid'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,7,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,3,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0
27,59.868248462677,0.301121115250639,0.5849430561065674,0.015693012427610467,5,0.01,500,50,0.1,64,relu,"{'n_hidden_layers': 5, 'learning_rate': 0.01, 'layer_size': 500, 'epochs': 50, 'dropout_rate': 0.1, 'batch_size': 64, 'activation': 'relu'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,7,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,3,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0
24,638.2027513980865,1.481173936031572,0.5023022294044495,0.006336901309243218,3,0.01,500,100,0.2,8,relu,"{'n_hidden_layers': 3, 'learning_rate': 0.01, 'layer_size': 500, 'epochs': 100, 'dropout_rate': 0.2, 'batch_size': 8, 'activation': 'relu'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,4,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,2,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0
21,138.1683447957039,0.26946966371577513,0.4980211853981018,0.006343756314865183,3,0.1,200,150,0.5,64,relu,"{'n_hidden_layers': 3, 'learning_rate': 0.1, 'layer_size': 200, 'epochs': 150, 'dropout_rate': 0.5, 'batch_size': 64, 'activation': 'relu'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,4,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,2,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0
18,98.70574116706848,0.44969929768542377,0.4949643611907959,0.004266750515424032,3,0.01,500,100,0.1,64,relu,"{'n_hidden_layers': 3, 'learning_rate': 0.01, 'layer_size': 500, 'epochs': 100, 'dropout_rate': 0.1, 'batch_size': 64, 'activation': 'relu'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,4,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,2,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0
17,275.14376467466354,3.140614232397548,0.5098641514778137,0.008817271640249563,3,0.01,500,150,0.5,32,sigmoid,"{'n_hidden_layers': 3, 'learning_rate': 0.01, 'layer_size': 500, 'epochs': 150, 'dropout_rate': 0.5, 'batch_size': 32, 'activation': 'sigmoid'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,4,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,2,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0
15,93.00249242782593,1.176678353158051,0.5565310716629028,0.1445467551289825,2,0.1,500,100,0.5,64,,"{'n_hidden_layers': 2, 'learning_rate': 0.1, 'layer_size': 500, 'epochs': 100, 'dropout_rate': 0.5, 'batch_size': 64}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,2,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,1,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
0,86.41827684640884,3.616617569356226,0.5206702351570129,0.03108294318400591,2,0.1,500,50,0.1,32,relu,"{'n_hidden_layers': 2, 'learning_rate': 0.1, 'layer_size': 500, 'epochs': 50, 'dropout_rate': 0.1, 'batch_size': 32, 'activation': 'relu'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,4,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,1,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
11,552.3087245225906,5.371140862407798,0.5236745476722717,0.008721240271269816,5,0.01,200,150,0.5,16,relu,"{'n_hidden_layers': 5, 'learning_rate': 0.01, 'layer_size': 200, 'epochs': 150, 'dropout_rate': 0.5, 'batch_size': 16, 'activation': 'relu'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,3,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,2,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
6,351.22304356098175,3.108247908737972,0.5213324427604675,0.004698871032518885,5,0.01,200,50,0.2,8,sigmoid,"{'n_hidden_layers': 5, 'learning_rate': 0.01, 'layer_size': 200, 'epochs': 50, 'dropout_rate': 0.2, 'batch_size': 8, 'activation': 'sigmoid'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,5,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,1,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0
2,49.466538429260254,0.1595504367054559,0.5155863761901855,0.008502072884546208,3,0.1,500,50,0.5,64,sigmoid,"{'n_hidden_layers': 3, 'learning_rate': 0.1, 'layer_size': 500, 'epochs': 50, 'dropout_rate': 0.5, 'batch_size': 64, 'activation': 'sigmoid'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,4,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,1,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
14,536.5307663679123,4.2652399436180835,0.5201094150543213,0.010517889199633295,5,0.01,100,150,0.1,16,relu,"{'n_hidden_layers': 5, 'learning_rate': 0.01, 'layer_size': 100, 'epochs': 150, 'dropout_rate': 0.1, 'batch_size': 16, 'activation': 'relu'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8364779874213837,0.8364231938941059,5.479352727771891e-05,3,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8364049261944274,0.8364231907034503,1.826450902292498e-05,2.6374298580436233,2.637429858043624,2.635663523427152,2.635663523427152,2.6365466907353876,0.0008831673082358993,2,2.6362523530610575,2.636252353061057,2.6368411312643016,2.6368411312643016,2.6365467421626794,0.00029438910162216114,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
4,522.7747510075569,2.583526249435937,0.5306856036186218,0.0032385809763613785,5,0.01,100,150,0.5,16,sigmoid,"{'n_hidden_layers': 5, 'learning_rate': 0.01, 'layer_size': 100, 'epochs': 150, 'dropout_rate': 0.5, 'batch_size': 16, 'activation': 'sigmoid'}",0.8363684003668282,0.8363684003668282,0.8364779874213837,0.8408018867924528,0.8375041687368732,0.0019044639696739337,3,0.8364414552124733,0.8364414552124733,0.8364049261944274,0.8412961830727574,0.8376460049230328,0.0021074841011109735,2.6374298580436233,2.637429858043624,2.635663523427152,2.5659705002122197,2.619123434931655,0.030696332236263436,3,2.6362523530610575,2.636252353061057,2.6368411312643016,2.5580033855357405,2.616837305730539,0.033968630113553555,0.0,0.0,0.0,0.03445512820512821,0.008613782051282052,0.014919508158145378,3,0.0,0.0,0.0,0.03737319807794982,0.009343299519487454,0.01618306947808615
32,435.33604377508163,1.3595205762275584,0.5980799198150635,0.003694867581928645,5,0.01,100,100,0.1,16,sigmoid,"{'n_hidden_layers': 5, 'learning_rate': 0.01, 'layer_size': 100, 'epochs': 100, 'dropout_rate': 0.1, 'batch_size': 16, 'activation': 'sigmoid'}",0.9284684920738897,0.8363684003668282,0.9308176100628931,0.8364779874213837,0.8830331224812488,0.046617343751866026,6,0.9359304712407739,0.8364414552124733,0.9306052930386933,0.8364049261944274,0.8848455364215919,0.04845893541962993,1.1529517796637343,2.637429858043624,1.115088471454986,2.635663523427152,1.885283408147374,0.7513828009215603,5,1.0326788864518304,2.636252353061057,1.1185106175376036,2.6368411312643016,1.8560707470786983,0.7810657513887354,0.6389111289031225,0.0,0.6354166666666666,0.0,0.3185819488924473,0.3185843445124072,6,0.6750333778371161,0.0,0.6281366791243994,0.0,0.3257925142403789,0.32621415493328365
